Measure,Electrode,Band,Condition,Comparison,p_value,AUC
E,F3,delta,Eyes_closed,B_vs_D,3.089110968787887e-08,0.002083333333333333
E,F7,delta,Eyes_closed,B_vs_D,6.769747081022175e-08,0.01458333333333334
E,F7,theta,Eyes_closed,B_vs_D,7.221021636173737e-08,0.984375
E,F3,theta,Eyes_closed,B_vs_D,8.212605638816391e-08,0.9822916666666666
E,C3,theta,Eyes_closed,B_vs_D,8.756632052822656e-08,0.9812500000000001
E,C4,theta,Eyes_closed,B_vs_D,9.951289011487769e-08,0.9791666666666666
E,T6,delta,Eyes_open,A_vs_C,1.2212045097341027e-07,0.005681818181818181
E,O2,delta,Eyes_open,A_vs_C,1.3051770930546063e-07,0.006818181818181819
E,Fz,theta,Eyes_closed,B_vs_D,1.550574207582184e-07,0.9718749999999999
E,O1,delta,Eyes_open,A_vs_C,1.8160923533335474e-07,0.0125
E,Pz,theta,Eyes_open,A_vs_C,1.9392970374394284e-07,0.9863636363636363
E,Fz,delta,Eyes_closed,B_vs_D,2.4006640504040997e-07,0.03541666666666667
E,Cz,theta,Eyes_closed,B_vs_D,2.4006640504040997e-07,0.9645833333333332
E,P4,theta,Eyes_open,A_vs_C,2.686830763341875e-07,0.9806818181818182
E,P3,theta,Eyes_closed,B_vs_D,2.7168258001928614e-07,0.9624999999999999
E,P4,delta,Eyes_open,A_vs_C,2.8666347028857347e-07,0.020454545454545454
E,T5,delta,Eyes_open,A_vs_C,2.8666347028857347e-07,0.020454545454545458
E,F8,theta,Eyes_closed,B_vs_D,3.2676325714970366e-07,0.959375
E,F4,theta,Eyes_closed,B_vs_D,3.2676325714970366e-07,0.959375
E,Fp1,delta,Eyes_closed,B_vs_D,3.474112970677425e-07,0.04166666666666667
E,C4,delta,Eyes_open,A_vs_C,3.9545514674106504e-07,0.02613636363636364
E,Cz,delta,Eyes_open,A_vs_C,4.215559254343194e-07,0.027272727272727264
E,O2,theta,Eyes_open,A_vs_C,4.215559254343194e-07,0.9727272727272728
